customer_id,name,email,phone,city,country,member_since,loyalty_level
C5000,Justin Palmer,potterautumn@hotmail.com,(385)081-3786,Michaelburgh,China,2025-01-27,Silver
C5001,Chad Gray,sylvia22@yahoo.com,(713)278-4557x3933,New Micheleland,Bermuda,2022-11-25,Platinum
C5002,Jason Allen Jr.,madisonsawyer@smith.net,0918551916,Port Wendy,Cuba,2023-11-09,Platinum
C5003,Jacqueline Daniels,john55@hotmail.com,(210)934-9045x4579,Annmouth,Tanzania,2022-06-14,Silver
C5004,Ryan Brennan,woodardryan@medina-martin.com,621-981-2736x1606,Port Marc,Romania,2022-11-23,Gold
C5005,Robert Hart,wandaacosta@dennis.com,(689)826-7974,Samanthaburgh,Saint Vincent and the Grenadines,2023-12-11,Platinum
C5006,Nina Wells,mjohnson@yahoo.com,460.586.4003,Beckview,Swaziland,2021-06-15,Silver
C5007,Erica Stewart,timothysmith@yahoo.com,(113)364-8058,Curtisbury,Azerbaijan,2023-09-21,Platinum
C5008,Janet Madden,gchang@yahoo.com,(728)416-4724,Schmidtmouth,Hong Kong,2023-05-24,Gold
C5009,Anthony Edwards,williamsondylan@gmail.com,5407236682,East Michelleborough,Spain,2023-06-24,Platinum
C5010,Tammy Perez,emilyavila@yahoo.com,(943)370-0400,Roberttown,Belgium,2023-08-11,Silver
C5011,Bryan Walker,pauldavis@yahoo.com,001-870-955-8941,Olsenfurt,Nicaragua,2023-08-03,Silver
C5012,Sharon Lane,xroberts@adams.biz,001-411-578-2945x60980,Port Daniel,Greece,2021-11-16,Silver
C5013,Thomas Walker,jacksondanielle@butler.com,001-214-116-0556x763,Jacquelinemouth,Mali,2025-11-06,Gold
C5014,David Velasquez,sean76@sanchez.com,(108)815-1530x76169,Lawsonview,Australia,2023-09-06,Gold
C5015,Rhonda Campbell,michaelfoster@baker.com,001-020-375-1169x2556,Millerland,Western Sahara,2025-07-24,Platinum
C5016,Maria Wright,adrian75@yahoo.com,8033490440,East Noah,Monaco,2024-01-02,Gold
C5017,Michael Scott,ashley04@nguyen.info,(927)190-2071x1106,Brianmouth,New Zealand,2025-07-03,Gold
C5018,Elizabeth King,bobbymcgee@hotmail.com,001-819-630-9253,East Jamesfurt,Iran,2023-09-03,Gold
C5019,Denise Lee,william10@cross.com,8674254539,North Jon,Eritrea,2021-05-03,Platinum
C5020,Mr. Brian Bush,deanleslie@gmail.com,001-889-259-7717x24393,New Carolmouth,Uruguay,2025-05-14,Gold
C5021,Dillon Schmidt,cruzandrew@davis.com,0466318489,Sparksview,Cyprus,2022-02-07,Platinum
C5022,Ryan Ramos,robinarnold@hotmail.com,727-740-9859,Lucasmouth,Nigeria,2021-04-05,Platinum
C5023,Wayne Smith,snorris@hotmail.com,(775)703-1591,Mooreland,Somalia,2022-05-04,Gold
C5024,Kara Wallace,transamantha@price-copeland.biz,(855)782-3911,West Victorberg,Albania,2023-05-15,Platinum
C5025,Antonio Baker,jtaylor@hotmail.com,(723)673-5637x10009,Port Edward,Latvia,2022-10-09,Platinum
C5026,Aaron Burnett,pyoder@peters-green.net,7775317714,North Mikeburgh,Guinea,2024-05-23,Silver
C5027,Frank Martinez,zimmermanchristy@gmail.com,565.160.8452x79322,Curtisville,Liberia,2023-09-01,Silver
C5028,Anthony Ward,aduncan@yahoo.com,273-708-8002x14064,Port Brooketon,Guinea-Bissau,2024-02-13,Platinum
C5029,Hannah Allen,joel73@yahoo.com,001-787-570-2639x83910,South Donnaborough,French Southern Territories,2023-08-02,Silver
C5030,Dr. Glenn Jackson III,lindabeck@hotmail.com,764-468-9274x1178,East Nathanielbury,Dominican Republic,2024-11-17,Platinum
C5031,Dennis Garcia,dayashley@hotmail.com,+1-306-507-0429,Woodardfort,Falkland Islands (Malvinas),2025-08-20,Gold
C5032,Bryce Brown,cmejia@yahoo.com,(072)359-7611x32566,East Melissaton,Palau,2022-11-30,Platinum
C5033,Tracy Lee,crystalgoodman@yahoo.com,+1-550-982-7719x36502,South Jessica,Thailand,2023-10-21,Silver
C5034,Charles Stephenson,brad95@castillo.info,001-137-777-3677x0419,Fowlerview,Haiti,2023-01-21,Gold
C5035,Donna Briggs,ofreeman@gmail.com,513.166.4382x60602,West Robertland,Algeria,2024-08-31,Platinum
C5036,Lisa Jones,qanderson@yahoo.com,798-415-0674x6866,New Jacqueline,Iran,2024-10-19,Gold
C5037,Miss Megan Kline,tomduncan@gmail.com,(747)892-6504,Lake Jasonborough,Uzbekistan,2021-02-04,Silver
C5038,Brandi Lopez,leahespinoza@roberson.com,147.239.0817,New Josefort,Ethiopia,2024-05-12,Platinum
C5039,Stacey Johnson,rcox@green.com,9860249035,Pinedahaven,Uruguay,2021-12-25,Gold
C5040,Sherry Gonzalez,glenn04@hotmail.com,361-266-8034x877,Port Stephen,Myanmar,2025-05-27,Silver
C5041,Aaron Rose,amcgee@hotmail.com,268-105-5987x305,Allenfort,Saint Pierre and Miquelon,2024-09-17,Platinum
C5042,Marvin Buchanan,meredith39@poole.com,544.517.8880x0313,New George,Slovakia (Slovak Republic),2024-03-15,Platinum
C5043,Jeffrey White,nataliecraig@hotmail.com,+1-226-724-6466x710,Campbellfort,Western Sahara,2023-11-12,Platinum
C5044,Susan Mendoza,donaldsmith@hotmail.com,(258)812-6772x581,Jamiechester,Heard Island and McDonald Islands,2025-11-02,Silver
C5045,Michele Poole,philipbutler@wallace.com,9625633081,Yangville,Niue,2026-01-06,Platinum
C5046,Anita Reeves,ariel47@cruz-hardy.biz,(049)239-9826,Port Philipland,Spain,2022-01-05,Silver
C5047,Seth Warren,piercekatherine@hotmail.com,001-310-942-9539x4027,Torreschester,Venezuela,2024-10-20,Silver
C5048,Lisa Yates,olivia84@gmail.com,733-264-4779,Leeborough,Ukraine,2025-06-13,Gold
C5049,Joseph Mccormick,walkereric@alvarez.com,227.220.6229x48382,East Amy,Latvia,2021-01-25,Platinum
C5050,James Wong,baileyalexis@cohen.org,439-218-0639x5131,Jamesmouth,Brazil,2025-11-15,Gold
C5051,Dennis Scott,joshuawolf@jones.net,(074)617-8990x4720,Port Sarah,China,2025-06-26,Platinum
C5052,Robert Austin,bbarrera@whitehead.com,441.993.2629,Lake Kevintown,Niue,2024-01-17,Gold
C5053,Rebekah Combs,luke79@durham-cook.net,001-602-836-5167,Port Amber,United States Virgin Islands,2025-05-03,Silver
C5054,Angela Green,martin37@hotmail.com,(728)417-5010x8252,Annaside,Belgium,2023-08-28,Gold
C5055,Manuel Williams,joanne84@hill.biz,+1-981-688-9456x3963,Lake Juan,Peru,2021-05-21,Silver
C5056,Tracy Rodriguez,mlopez@gmail.com,+1-414-317-1431x4646,Phillipschester,Uzbekistan,2024-12-27,Gold
C5057,Steven Perez,richardsonapril@mosley-walker.com,5805365864,Wilsonburgh,United States of America,2025-12-22,Gold
C5058,Samuel Cox,ycruz@gmail.com,403-023-8768x3700,Mitchellside,Myanmar,2025-06-21,Gold
C5059,Shelley Gordon,martinezdawn@silva.com,888.225.6218,Lake Markfort,Turkmenistan,2022-12-31,Platinum
C5060,Leroy Anderson,jgolden@johnson-copeland.com,289.729.1351x7388,Nashfort,Senegal,2022-04-30,Gold
C5061,Samantha Elliott,pneal@hotmail.com,765.811.0414x3099,Lake Amystad,Gabon,2022-03-11,Platinum
C5062,Maureen Lee,kscott@long-johnson.com,506-919-9593x50617,Maryhaven,Macedonia,2022-06-04,Gold
C5063,George Mendez,cfisher@smith.com,001-921-346-0764x291,Jacksonfort,Switzerland,2021-05-29,Platinum
C5064,Kathy Smith,lisa57@rodriguez-kennedy.com,+1-059-359-1168x6932,Pamelafurt,Indonesia,2021-05-01,Gold
C5065,Kathryn Randolph,ascott@hotmail.com,+1-736-615-1778x0783,Clarktown,Solomon Islands,2025-09-02,Platinum
C5066,Mary Hays,newtonjoshua@yahoo.com,856.788.2600,Brandonfort,Cote d'Ivoire,2025-09-30,Gold
C5067,Amanda Thompson,mmccarthy@ayers.info,001-004-595-4372,Lake Karltown,British Indian Ocean Territory (Chagos Archipelago),2022-03-23,Silver
C5068,Chelsea Graham,tyler08@yahoo.com,001-928-242-3544x040,East Jason,Uruguay,2025-02-13,Platinum
C5069,Morgan Bates,mwarren@gmail.com,+1-046-203-2016x7841,North Brandiborough,Gabon,2025-03-21,Gold
C5070,Amber Farrell,mark91@nichols.info,108.502.3235,Port Stephenshire,Armenia,2024-11-17,Gold
C5071,Christian Smith,jacobsmichelle@hotmail.com,+1-493-587-5824x7957,Lake Josephland,Suriname,2023-08-07,Platinum
C5072,Holly Conrad,dbell@lee.com,194.149.6148x29684,Mcneilview,Saint Helena,2025-07-27,Silver
C5073,Alexis Coleman,heather18@ryan.com,344-927-5674x23016,Port Amyland,Western Sahara,2021-07-17,Platinum
C5074,Timothy Vance,parksjacob@ross.com,251.492.9587,East Wendy,Mayotte,2022-01-05,Platinum
C5075,Lisa Lewis,wlong@little.org,(713)033-2635,Rebeccaberg,Guinea,2024-11-21,Platinum
C5076,Dean Atkins,baileylisa@duncan-holland.info,+1-318-821-2224x776,East Donaldberg,Nigeria,2025-08-11,Gold
C5077,Joseph Brady,hannamichael@garcia.com,+1-849-663-9341,Lake Andrewview,Belarus,2025-12-06,Platinum
C5078,Laurie Fernandez,billyyang@reilly-johnson.com,039-408-0231,Jasonshire,Senegal,2023-05-21,Platinum
C5079,Julia Martin,richardsims@bennett.com,(343)887-6629x442,Matthewfort,Korea,2023-11-06,Gold
C5080,James Hart,uford@blair.com,715.718.1773x3495,Chapmanborough,Burkina Faso,2025-04-23,Silver
C5081,Brian Mitchell,ashleyscott@smith-stevens.biz,822-497-2879x6411,Lake Aaron,Kazakhstan,2023-12-25,Platinum
C5082,Tracy Mitchell,brandonnorris@reyes.info,001-213-694-7733x669,Markhaven,Suriname,2023-09-18,Silver
C5083,Joel Olson,harveylogan@yahoo.com,(629)408-5426x6123,Smithside,Congo,2025-08-19,Platinum
C5084,Michelle Oneal,ydouglas@yahoo.com,(889)047-1666x300,Deckertown,Tanzania,2024-03-24,Gold
C5085,Rebecca Hooper,rpatel@yahoo.com,794-243-3136,Jamestown,French Southern Territories,2022-12-19,Silver
C5086,Peter Orozco,maria05@mcknight.org,1631657143,West Kellymouth,Ecuador,2023-08-24,Gold
C5087,Veronica Cohen,pamela51@hotmail.com,8619959205,East Sethburgh,Iraq,2025-11-29,Platinum
C5088,Christopher Davis,arobles@gmail.com,858-386-8090,East Michaelland,Spain,2022-04-13,Platinum
C5089,Brooke Daniel,johnsmith@yahoo.com,+1-707-718-6548,West Marcusfort,Armenia,2023-03-18,Platinum
C5090,Justin Wilson,tpayne@parker.info,883-030-3101,Hamptonchester,Greece,2024-01-02,Silver
C5091,Roger Wood,nhendrix@hotmail.com,507-083-6412x21821,Zacharyfort,Ireland,2022-03-12,Platinum
C5092,Rachel Collins,karenbender@yahoo.com,133-349-8883x77496,Amyshire,Myanmar,2023-10-21,Gold
C5093,Robert Smith,nancylewis@medina.org,715-512-7614x768,West Paulaborough,Afghanistan,2024-10-10,Platinum
C5094,Brett Nash,sandyoconnor@gordon-fisher.net,067-131-8201,West Johnview,Romania,2021-12-25,Platinum
C5095,Dawn Edwards,sandrasmith@yahoo.com,+1-061-080-1104x348,Williamsland,Antarctica (the territory South of 60 deg S),2021-06-22,Gold
C5096,Ruth Chavez,kristielandry@hotmail.com,(678)061-4219x06379,Paulside,Palestinian Territory,2023-01-18,Silver
C5097,Jenna Adams,eherrera@shah.com,001-181-715-4815x46526,South Susanview,Montenegro,2024-02-18,Platinum
C5098,Elizabeth Peterson,nathaniel90@cortez.org,076.388.9591x87189,Carlstad,Congo,2021-10-22,Silver
C5099,Teresa Silva DDS,otucker@gonzalez-haas.biz,3183292921,South Melissa,Gabon,2025-10-26,Gold
C5100,Chris Wilkerson,brendaharrington@phillips.com,(133)890-7357,North Josephstad,Sao Tome and Principe,2021-10-30,Platinum
C5101,Michelle Brooks,anthonythompson@moss-diaz.org,9975426434,Grosstown,Haiti,2021-04-21,Platinum
C5102,William Wood,jennifermoore@yahoo.com,(360)231-8231x91976,North Tanya,Venezuela,2021-07-05,Gold
C5103,Dr. Christine Castillo,ohernandez@roberts-page.com,020-971-4707x483,New Ashleystad,Congo,2021-05-12,Gold
C5104,Ronald Osborne,qmcclain@hotmail.com,(083)083-6230x48278,Nicholston,Antarctica (the territory South of 60 deg S),2025-09-04,Silver
C5105,Kyle Martinez,qhill@hotmail.com,105.871.7790,East Willieport,Saint Lucia,2021-03-04,Platinum
C5106,Abigail Guzman,allisonmcconnell@hernandez-barker.net,+1-707-362-2164x55709,Port Jared,Australia,2025-06-29,Platinum
C5107,Shannon Sanchez,pamela31@yahoo.com,5674210891,Lake Yesenia,Dominican Republic,2025-01-10,Gold
C5108,Douglas Evans,benjamin21@robinson.com,9349923953,Vegamouth,Mauritius,2021-10-14,Gold
C5109,Joshua Petty,jessereed@yahoo.com,(694)488-2531,Johnsonhaven,Saint Lucia,2022-02-09,Silver
C5110,Martha Evans,yangchristian@hotmail.com,183-940-3906,Port Brittanymouth,Saint Helena,2024-08-29,Silver
C5111,Jessica Williams,kevin40@hotmail.com,+1-339-191-1890x97174,South Dawn,Maldives,2022-09-19,Gold
C5112,Kimberly Baird,heathermunoz@yahoo.com,559.051.6638,Timside,Saint Pierre and Miquelon,2025-02-22,Silver
C5113,Patricia Walls,laura76@morris.com,(113)146-5742,East Ethan,Grenada,2023-06-26,Platinum
C5114,Terry Shelton,hutchinsonpatricia@wise-joyce.com,001-790-133-7316x0016,Phyllischester,Qatar,2023-05-25,Platinum
C5115,Dr. Tony Paul,loriramos@carroll.com,(776)804-3764,West Brittany,Martinique,2025-07-29,Gold
C5116,Rita Koch,natalieatkins@gmail.com,798.996.1192x239,North Traci,Denmark,2021-03-06,Platinum
C5117,Melissa Tucker,mdawson@glover-carrillo.com,256.530.7665x910,Melissachester,Haiti,2023-07-07,Platinum
C5118,Alicia Jackson,amanda42@hunt-gordon.com,(787)266-0470x980,New Dominiqueville,Colombia,2023-04-10,Silver
C5119,Lance Franklin,pyoung@gmail.com,(195)943-4164,Fieldschester,Tajikistan,2022-11-12,Gold
C5120,Christine Cooper,zmorris@gmail.com,001-168-875-3942x461,Dianashire,Gabon,2021-10-11,Silver
C5121,Kimberly Dennis,stevenknapp@gmail.com,459.369.7076x88681,West Shannon,Brunei Darussalam,2023-12-05,Platinum
C5122,Joseph Miller,collinsmichael@morales.info,118.406.4127x2152,North Guy,Christmas Island,2025-06-06,Silver
C5123,Dr. Alison Zimmerman,velazquezanthony@rodriguez.biz,954-726-5227,New Margaret,Guadeloupe,2025-07-18,Silver
C5124,April Schaefer,nicoleboone@gmail.com,2016630785,Hudsonmouth,France,2025-05-30,Gold
C5125,Jacqueline Miller,fhill@yahoo.com,001-640-260-8572x16625,Staceyfort,Comoros,2024-10-15,Silver
C5126,Tracey Gilbert,reillykarl@collins-johnson.com,+1-026-970-4629x6304,Charlesstad,Tuvalu,2024-09-02,Silver
C5127,Evan Thompson,ashley58@yahoo.com,629-924-9159,Kathleenport,Croatia,2025-08-30,Silver
C5128,Arthur Robinson,suzannerivera@hotmail.com,051.113.0770x87117,Jameshaven,Saint Kitts and Nevis,2021-07-25,Silver
C5129,Benjamin Jones,amcbride@gmail.com,037-853-1524x9531,West Lisa,Norway,2022-08-30,Silver
C5130,Chad Smith,rodney22@yahoo.com,(878)170-1511,Port John,Belize,2025-04-27,Silver
C5131,Patricia Murphy,whitakerallison@norman-calderon.com,752-579-7335x068,Manntown,Latvia,2025-01-23,Platinum
C5132,Mrs. Carol Fry,samuelsmith@wood.com,(213)510-0643,East Samantha,Nauru,2024-10-02,Platinum
C5133,William Richardson,chase53@paul.com,429.970.4005x0458,Port Ashleymouth,Switzerland,2022-08-22,Silver
C5134,Rebecca Sloan,radkins@gmail.com,(464)237-4649x340,New Chrisberg,Comoros,2022-08-22,Silver
C5135,Travis Ballard,hernandezlisa@gmail.com,511-050-0109,West Kendra,Slovenia,2022-05-13,Gold
C5136,Diana Ferguson,xmorris@yahoo.com,+1-625-193-9923x252,North Karen,Ireland,2022-02-19,Platinum
C5137,Kenneth Bullock,iedwards@gmail.com,2732383625,North Paul,Somalia,2021-06-14,Platinum
C5138,Christopher Gibson,hdavis@gmail.com,(579)011-1032x38398,West Crystal,Uganda,2022-11-26,Silver
C5139,Tiffany Ruiz,jeff36@yahoo.com,(157)484-6698x07474,Longview,Chile,2023-06-04,Gold
C5140,Sarah Roberts,darrellweeks@griffin-little.info,309.154.7122x029,West Kim,Barbados,2024-08-29,Gold
C5141,Jacob Williamson,farmerandrew@hotmail.com,444.411.6178,Michelleland,Thailand,2025-03-27,Gold
C5142,Grace Martin,aalexander@terry.biz,705.055.9713x0434,Sheppardside,French Southern Territories,2025-01-09,Gold
C5143,Lori Martin,jimenezalexandra@hotmail.com,001-892-683-8120x634,Marcuschester,Hong Kong,2025-03-05,Gold
C5144,Kelly Newman,erika64@reeves.com,2046291613,South Ginahaven,Grenada,2022-08-18,Silver
C5145,Megan Rodriguez,wilsonvanessa@yahoo.com,+1-306-505-2934x73395,South Nicole,Zimbabwe,2023-09-10,Platinum
C5146,Steven Harrison,brett34@gmail.com,+1-513-839-9289x660,West Ginachester,Gambia,2022-11-17,Gold
C5147,Alexander Larson,uhicks@baird-howard.net,(831)837-1937x19774,Johnberg,Russian Federation,2022-01-22,Platinum
C5148,Christopher Blake,mtaylor@hotmail.com,+1-459-595-9489x2319,Davidborough,Turks and Caicos Islands,2025-09-04,Gold
C5149,Zachary Cooper,kelsey64@herrera.com,001-044-697-4809x6172,West Traceystad,China,2021-08-05,Platinum
